Country Name,Country Code,2016
Aruba,ABW,93.54245387
Afghanistan,AFG,11.2
Angola,AGO,13
Albania,ALB,66.3634447
Andorra,AND,97.93063712
Arab World,ARB,41.48747671
United Arab Emirates,ARE,90.60000732
Argentina,ARG,70.96898082
Armenia,ARM,64.34602977
American Samoa,ASM,
Antigua and Barbuda,ATG,73
Australia,AUS,86.54
Austria,AUT,84.32374257
Azerbaijan,AZE,78.2
Burundi,BDI,5.173626777
Belgium,BEL,86.51647666
Benin,BEN,11.99404791
Burkina Faso,BFA,13.96
Bangladesh,BGD,18.02
Bulgaria,BGR,59.82554766
Bahrain,BHR,97.9999807
"Bahamas, The",BHS,80
Bosnia and Herzegovina,BIH,60.25653543
Belarus,BLR,71.11304576
Belize,BLZ,44.57574032
Bermuda,BMU,98
Bolivia,BOL,39.6975146
Brazil,BRA,60.87254007
Barbados,BRB,79.54939789
Brunei Darussalam,BRN,90
Bhutan,BTN,41.77264453
Botswana,BWA,39.36299738
Central African Republic,CAF,4
Canada,CAN,91.16
Central Europe and the Baltics,CEB,71.34198079
Switzerland,CHE,89.13468774
Channel Islands,CHI,
Chile,CHL,83.55858602
China,CHN,53.2
Cote d'Ivoire,CIV,41.20781493
Cameroon,CMR,23.20297197
"Congo, Dem. Rep.",COD,6.20997406
"Congo, Rep.",COG,8.121949323
Colombia,COL,58.13649357
Comoros,COM,7.938322771
Cabo Verde,CPV,50.32281787
Costa Rica,CRI,65.88044919
Caribbean small states,CSS,52.95321095
Cuba,CUB,42.97867519
Curacao,CUW,61.85551074
Cayman Islands,CYM,79
Cyprus,CYP,75.9002054
Czech Republic,CZE,76.4811987
Germany,DEU,84.16520664
Djibouti,DJI,13.13491511
Dominica,DMA,67.03
Denmark,DNK,96.96778525
Dominican Republic,DOM,63.87086474
Algeria,DZA,42.94552688
East Asia & Pacific (excluding high income),EAP,48.72880783
Early-demographic dividend,EAR,30.16674985
East Asia & Pacific,EAS,53.18742089
Europe & Central Asia (excluding high income),ECA,62.5179342
Europe & Central Asia,ECS,72.44627768
Ecuador,ECU,54.06292473
"Egypt, Arab Rep.",EGY,41.24806709
Euro area,EMU,77.98945493
Eritrea,ERI,1.17711872
Spain,ESP,80.56133294
Estonia,EST,87.24023275
Ethiopia,ETH,15.36692386
European Union,EUU,79.23845795
Fragile and conflict affected situations,FCS,17.13823905
Finland,FIN,87.70364996
Fiji,FJI,46.50697831
France,FRA,79.26981132
Faroe Islands,FRO,95.10868167
"Micronesia, Fed. Sts.",FSM,33.35216255
Gabon,GAB,48.05227375
United Kingdom,GBR,94.77580063
Georgia,GEO,58.45928961
Ghana,GHA,34.66600065
Gibraltar,GIB,94.44447158
Guinea,GIN,9.8
"Gambia, The",GMB,18.5
Guinea-Bissau,GNB,3.761413832
Equatorial Guinea,GNQ,23.77999997
Greece,GRC,69.08791547
Grenada,GRD,55.85640782
Greenland,GRL,68.50087368
Guatemala,GTM,34.50932609
Guam,GUM,77.00999989
Guyana,GUY,35.66
High income,HIC,84.16797688
"Hong Kong SAR, China",HKG,87.47941467
Honduras,HND,29.5
Heavily indebted poor countries (HIPC),HPC,15.3506985
Croatia,HRV,72.69726967
Haiti,HTI,12.23260161
Hungary,HUN,79.25941213
IBRD only,IBD,43.91361957
IDA & IBRD total,IBT,37.5202087
IDA total,IDA,18.24760825
IDA blend,IDB,20.80293408
Indonesia,IDN,25.4473537
IDA only,IDX,16.93567254
Isle of Man,IMN,
India,IND,22
Not classified,INX,
Ireland,IRL,85.01113212
"Iran, Islamic Rep.",IRN,53.22677167
Iraq,IRQ,21.23
Iceland,ISL,98.2400163
Israel,ISR,79.65312418
Italy,ITA,61.32425277
Jamaica,JAM,44.36685637
Jordan,JOR,62.30219257
Japan,JPN,93.18272128
Kazakhstan,KAZ,74.58772647
Kenya,KEN,16.6
Kyrgyz Republic,KGZ,37
Cambodia,KHM,32.39845171
Kiribati,KIR,13.7
St. Kitts and Nevis,KNA,76.81767491
"Korea, Rep.",KOR,92.84302568
Kuwait,KWT,78.36738376
Latin America & Caribbean (excluding high income),LAC,56.38747414
Lao PDR,LAO,21.87
Lebanon,LBN,76.11
Liberia,LBR,7.319106411
Libya,LBY,20.27215956
St. Lucia,LCA,46.72907806
Latin America & Caribbean,LCN,57.35461427
Least developed countries: UN classification,LDC,15.06093524
Low income,LIC,13.08290863
Liechtenstein,LIE,98.09390389
Sri Lanka,LKA,16.4
Lower middle income,LMC,26.0708924
Low & middle income,LMY,37.1359991
Lesotho,LSO,27.36
Late-demographic dividend,LTE,56.75187195
Lithuania,LTU,74.37664556
Luxembourg,LUX,98.13669867
Latvia,LVA,79.84209778
"Macao SAR, China",MAC,81.64298546
St. Martin (French part),MAF,
Morocco,MAR,58.27123642
Monaco,MCO,95.20817797
Moldova,MDA,70.99999911
Madagascar,MDG,4.713662899
Maldives,MDV,59.09258997
Middle East & North Africa,MEA,48.49469226
Mexico,MEX,59.540446
Marshall Islands,MHL,29.78777936
Middle income,MIC,39.90992924
North Macedonia,MKD,72.15681447
Mali,MLI,11.11218649
Malta,MLT,78.0751488
Myanmar,MMR,25.07330424
Middle East & North Africa (excluding high income),MNA,43.21821218
Montenegro,MNE,69.88164684
Mongolia,MNG,22.2657705
Northern Mariana Islands,MNP,
Mozambique,MOZ,17.52123909
